"turn_id","transcript_id","utterance_id","turn_index","mi_quality","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"69977d3d23aa","22","21","8","high","Okay.","-what I usually pick.","","","",""
"0b917b53ef30","22","23","9","high","Okay.","Um, and then the second one I said is religion. Um, it was number one at first, um, but somehow with a big situation that happened in my family you kind of lose sight of your faith a little bit, which is normal. And not a lot of people-- They, uh-- Well, in my church home, i-it just seems like, ""Oh, you lost touch of God, oh my gosh, you're the devil.""","","","",""
"941a33a84aaf","22","25","10","high","Uh-huh.","You know? And it's kind of like, well we all face those challenges every day, we're not perfect, you know? And I feel like my faith is still there but it's-- You know, as long as it's still there, that's all that matters.","","","",""
"ced94866fe02","22","27","11","high","Right. So, right now, it really is important to you to put the family values first? And religion is still very important to you, but you feel like maybe you're losing faith a little bit?","Yeah. I lost faith, and so I'm not afraid to say it.","","","",""
"60aff3282c64","22","29","12","high","Uh-huh.","You know? And once you say [unintelligible 00:03:12] people that don't really feel like that's—","","","",""
"4f7e0c792ea7","22","31","13","high","Because you know that other people experience it too.","Yeah, I know that.","","","",""
"731c6889411f","22","33","14","high","So, you know it's normal.","I know that it's normal.","","","",""
"34dedee0b65c","22","35","15","high","But sometimes it's not something that people talk about.","Yeah, well, it's a—","","","",""
"426aa264ea9b","22","37","16","high","Especially in the church.","Yeah, it's like a shock to them when you say something like that. And it's like, ""Well, we all go through things where we're just not sure, and--"" I still have a little bit, I'm not saying that I'm off track, you know? I still have a little bit to go on. And the little bit that I do have are the positive things in my life that I look at and I'm like, ""Okay, well, I'm not in this situation, so I'm thankful,"" and-","","","",""
"8acc4ac347a1","22","39","17","high","Mm-hmm.","-you know, I'd still have faith to keep going on, but sometimes you feel as though, ""Where is God?""","","","",""
"ec1f21fc34f3","22","51","18","high","And you accept that?","I've accepted that. At first, I was like, ""Whoa,"" I think I was focused too much on the first time I did it-","","","",""
"ecafb37b156b","22","53","19","high","Mm-hmm.","-then the second time that I did it-- I did five of these total-","","","",""
"74ef7134f85d","22","55","20","high","Mm-hmm.","-but the second time that I did it I was so focused on, ""What did I read about last time?"" You know?","","","",""
"64ba6b4892be","22","57","21","high","Yeah.","So, and I just went ahead and blanked that out and I just went and I-","","","",""
"619e94090f69","22","59","22","high","Yes.","-compared and I was like, ""Oh wow.""","","","",""
"9e7355ecf297","22","61","23","high","I really applaud you for being open-minded enough to realize that where you are now is not necessarily where you are, that you don't have to always have it be the same.","Mm-hmm, and that's what I felt wasn't-- At first I was like, ""Is that not normal?"" You know?","","","",""
"5f5c2ccfa4c1","22","63","24","high","Mm-hmm.","But, I noticed people go through things every day. I go through things in life. Things are gonna change.","","","",""
"8995f47230ce","22","65","25","high","Mm-hmm.","Things do not stay the same. Um, you know, like, you may be here, you're gonna go there, you're gonna go over there, not necessarily saying you're gonna fall down, but your view on life changes the more experience, the more life, every day-","","","",""
"b7d11d3c7eb0","22","67","26","high","Yeah.","-every day your eyes-- Well, to me, my eyes have gotten broader, and broader, and broader. So—","","","",""
"346331f75c70","22","69","27","high","Right.","I don't limit myself to change anymore, I just kind of fill it out, and then [unintelligible 00:05:38] I'm like, ""Okay.""","","","",""
"2f03908afb44","22","71","28","high","All right.","That's cool, so I'll focus more on that, than on the unnecessary stuff in my life.","","","",""
"01a2e3fa960c","22","73","29","high","Mm-hmm. Do you feel that there are some parts of your life where you'd like to be more in line with your values, or do you feel like you're really on target with them?","Um, I mentioned before that it was kind of, like, out of place for me, because when I did this one in particular, um, as-as-- I stated that there were-- The other three were important to me, but I haven't focused on it so I'm like, ""Okay, it's important to me,"" so I lost track of that and the other three—","","","",""
"bb63e8641c70","22","75","30","high","The other three?","Um, number three was health.","","","",""
"e720112e9dbc","22","77","31","high","Mm-hmm.","Number four is inner harmony, and number five is security.","","","",""
"d840f2e4d75a","22","91","32","high","You feel like you're not really paying as much attention to them as you would want to?","Yeah, because when I saw it I was like, ""Okay, yeah, that's one, that's one, and that's one.""","","","",""
"7051f08f7fda","22","95","33","high","Is it because a lot of your time is being taken with the first two or?","A lot of my time is being taken with, um, number one especially-","","","",""
"ea5ae8b08a66","22","97","34","high","Mm-hmm.","-and, uh, I learned about the different way of looking at self-esteem.","","","",""
"fb7ce57f6b80","22","99","35","high","Mm-hmm.","-and I've been definitely esteeming others.","","","",""
"1b52544ed743","22","101","36","high","Uh.","So, I've had, um, less time to have some inner harmony.","","","",""
"2484bba7aec7","22","105","37","high","You're not even on-- Are you on the schedule at all? Meaning of time in a day dedicated? Is most of it going to your family?","Most of it goes to everything else, but me.","","","",""
"58f28bd8cb24","22","107","38","high","Okay.","And, uh, like, I don't even—","","","",""
"a978b22102a3","22","111","39","high","-if you're always running around taking care of everybody.","And I feel like inner harmony first comes with sleep. [laughter] I haven't been able to sleep lately.","","","",""
"604974972d60","22","115","40","high","Yeah.","-I think that's the first step, but I just, like-- Oh my gosh, I'm just overwhelmed, um, but I would like to gain that back, inner harmony, inner peace-","","","",""
"f1f3dd1fd10f","22","117","41","high","Okay.","-because when I was, you know, 18 I was just so, like, free-spirited, open-minded. I was living life, now that I look at it, as a fairy tale.","","","",""
"f479496bc478","22","119","42","high","Mm. Mm-hmm.","And so I got knocked to reality and reality said, ""This is not a fairy tale."" Um, you're now on board. Like—","","","",""
"a86aa7a5b1c1","22","121","43","high","Okay.","And so I felt like, ""This is not about you, you know, this is about everyone else.""","","","",""
"2c868cf9380b","22","129","44","high","Okay.","-definitely, and the shock just keeps getting.","","","",""
"8066f1622912","22","131","45","high","Okay. Well, I really enjoyed having the time to be able to sit down and talk to you about your values. I hope that it's been helpful to you, and in the future, if I can support even any way in helping some of those other values get a little bit more attention, we can talk about that next time.","Thank you for listening.","","","",""
"5c8e13c8bf15","112","1","1","high","So, Chris, I wanted to talk to you. Um, you know, you're one of our star athletes. I really value you as a team player. As Athletic Director, one of my jobs is to, kind of, keep tabs on the players and make sure everybody is performing at their best. And something came up this weekend. I've been hearing some chatter about a big party that went down and understand you were there. And so I wanted to talk to you a little bit about how partying and alcohol fits in your life right now.","Okay, oh, actually, could I confide something in you that has been bothering me lately. Well, prior to that party, like, as you know, I'm a honor student and my parents, like, they keep me very, like k-kept down out of the, like so- like social life.","","","",""
"1980900be5e3","112","3","2","high","Mm-hmm.","And, um, about a month ago, my friends invited me to a party. And they used the fact that, Oh, I'm always doing my homework, I'm always studying that to allow me to go to the party. And on-- well, that party, I managed to convince my parents that I would spend the night at my friend's house. So, that's when I started drinking.","","","",""
"a64c13ba1de4","112","5","3","high","Mm-hmm.","It was a- it was a unique experience, as you can say. I guess you can say. And, I don't know, I-- It was fun, at least, in the moment. So, I kept doing it. Then this past weekend, instead of studying for an exam, I asked my-- I begged my mom to let me go to another party. And she, kind of, knew what I was doing. She asked me to, like, to promise her of no alcohol, no drugs. Then I'll pick you up by 12:00. And I-I was surprised. 12:00-12:00, that's basically when the party starts, but I told her whatever-- I thought- I thought to myself that I'll-I'll come-- I'll figure out to delay her, can you pick me up later? So later, so she-- I promised that-- She dropped me off, I promised her no alcohol, no nothing. So I-- we go, I have fun like I've been having. And I was drinking. And then the time- the time came for her to pick me up. And as soon-- I couldn't delay her from picking me up. And as soon as she picked me up, and I stepped in the car, she said, ""You drank vodka."" And I'm like, I-I didn't know what to say. I just looked at the floor. And I-I feel terrible because I-I betrayed my mother. I broke my trust with her that she expected me not to indulge in alcohol. And that's exactly what I did.","","","",""
"de84805b5010","112","9","4","high","And it was fun at first. But now you're already noticing some consequences.","Yes, right. Like I've been noticing I've been more lethargic and apathetic towards schoolwork.","","","",""
"e64e6bd0b183","112","11","5","high","Mm-hmm.","I haven't really-- I kind of just sit in class like-- I-- my mind is elsewhere, especially on the weekends, where instead of-- I was- I was instead of studying, I caught up with my friends, trying to find where we can-- I get alcohol based on their age and stuff like that.","","","",""
"0c334be5f310","112","13","6","high","It's really changed your focus. What do you like about drinking?","I don't know. It-It's because I'm a very reserved person, for the most part, not when- not when I'm dealing with sports or like-- you know, like a social environment. I tend to keep to myself because I'm very self-conscious, I would say. And when I- when I drink, I feel, I don't know, like, it relaxes me. I'm able to talk or engage with other people more easily. I don't know it just—","","","",""
"ff5f9a68690c","112","19","7","high","-or any other things?","Just different groups, friends or groups, girlfriends, like different people that I'm hanging out with because certain people are associated with that type of scene.","","","",""
"284b6f29581f","112","21","8","high","Mm-hmm.","So, that-that-that's also changed.","","","",""
"dda2938c7155","112","23","9","high","So, your-your friends that you were hanging out with, there's a little tension there now.","A little bit because not all of them are into that. So, like, I'm in one group of friends, and I would talk to another person that's an another group of friends and they just happen to invite me to that first party.","","","",""
"f27fc7de7662","112","25","10","high","Mm-hmm.","So, since then, I've been hanging out more with them, getting to know them. But I can also see that oh, I'm just living life, I guess. But that's also not fair to them that I'm not there for them as much as I was before.","","","",""
"a7118b1dc77f","112","27","11","high","Okay.","As they are there for me, you know.","","","",""
"6e4b57f902d1","112","29","12","high","Well, given that you've sort of noticed all these changes where it's affecting your friendships, it's affecting your studying, it's affecting your relationship with your mom. Where do you think you should kind of go from here?","Oh, um, I feel I should st-stop. I mean, like, I'm not-not unrealistic. I understand that situations like this will happen.","","","",""
"84a893241db1","112","31","13","high","Mm-hmm.","It's just up to me not to take it so far, where I can't remember the night before, if I'm puking. All I remember is the toilet-","","","",""
"5a5e7291a625","112","33","14","high","Mm-hmm.","-that's-that's not worth it, either. And I have to slowly build back my trust with my mother because that was that's a big blow. It's little so I guess may seem to other people.","","","",""
"70bdf225565d","112","35","15","high","Yeah.","But to me then it's a big thing.","","","",""
"f73be7450b71","112","41","16","high","How important is it to you to make, uh, an adjustment in your drinking or even to quit?","A lot at this point because I feel that's a big factor with gaining back my trust with my mother.","","","",""
"29a6c4c14037","112","43","17","high","Okay.","And also getting back on top of my school work again my athletics too.","","","",""
"d4c4b9601cef","112","45","18","high","Okay.","So I feel that there-there's a future in that.","","","",""
"053b67222f39","112","47","19","high","How confident are you that you could actually change your drinking or-or even cut down or quit?","I'm pretty confident, especially.","","","",""
"6029b3219dc0","112","49","20","high","O-on a scale of 1 to 10 where one is not at all 10 is completely what number would you give.","Probably like an 8 or 9.","","","",""
"79048fb539ae","112","51","21","high","Okay.","And that can't be a ten there's nothing as ten in life I feel. Like there's too many factors but I feel like I'm determined to.","","","",""
"93f7382c4963","112","53","22","high","Why did you say eight or nine rather than six or seven?","Because I don't know I feel deter-determined to-to make sure this happens because I don't like how I felt after I-I betrayed my mother. I don't like remembering that the feeling of like vomiting.","","","",""
"305e6702a6f2","112","55","23","high","Mm-hmm.","It's not a pleasant experience. Uh, it's not something that I wish to enjoy. So like even if I do drink, I don't want to drink to the point where that happens, like all the fun that I have and prior to that just it's not worth-it's not worth drinking.","","","",""
"cf2aa96275e3","112","57","24","high","All right, what do you think's a realistic goal for you then?","To make sure I have my studies. Well first, try to get-get back my trust with mother-","","","",""
"ee95b5369904","112","59","25","high","Mm-hmm.","-then just focus on my studies. Then if I have time for leisure time like I'll go party with my friends and just be as a party with them doesn't mean I have to drink. And I do one cup is not going to do anything to my life either. But I'd prefer not to do that. I prefer just make sure.","","","",""
"468b897f9380","112","61","26","high","So your goal is kind of to do not drink at all or if you are at a party, uh, a maximum of one at the very most.","Exactly. Just so I take part with the social convention but it's not. Hey guys.","","","",""
"b0be10743dba","112","63","27","high","Yeah. Chris, I really appreciate you talking with me about this. I know it seems like something that's been on your mind as it is and, you know, like I said I really care about you as a student and an athlete and want what's best for you. So I'm glad we were able to talk about this. It really seems like you have a good plan going forward, you know, really striving for not drinking alcohol at all and if you find yourself in a situation where there's alcohol, making sure to have that limit of one drink maximum. It sounds like something that will work for you.","And-and thank you for listening me listening to me. It means a lot to me.","","","",""
"2b51d2fa1a0c","122","0","1","high","","Well, I'm here because my mom wants me to be here.","","","",""
"276f8cac97d1","122","2","2","high","Mm-hmm.","I don't really wanna be here, but it-it-- whatever.","","","",""
"3bc690fbe541","122","4","3","high","Got it.","Um, she-she found my stash-","","","",""
"5617d582c362","122","6","4","high","Uh-huh.","-and she freaked out, and she's going crazy over it. Um, I don't why she was going through stuff in the first place, but whatever, so, now I'm here.","","","",""
"e6ad8135c913","122","8","5","high","Mm-hmm.","Um, I've been hanging out with a new cool crowd of people that I really like.","","","",""
"b604da635ba3","122","10","6","high","Mm-hmm.","Uh, a-and-and that's-that's basically it.","","","",""
"5b5b4a5c2321","122","20","7","high","Yeah.","I mean, it's my stuff, I don't know why she's—","","","",""
"ad230751d61c","122","22","8","high","Right. It's like your private place and, you know, it's-- that's-- it's your stuff.","I-I don't go- I don't go through her s- I don't go through her stuff. I don't go through her purse. I don't—","","","",""
