"turn_id","transcript_id","utterance_id","turn_index","mi_quality","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"5c15136d2f5e","17","25","9","low","-amongst the people you typically drink with. But these limits are-- they're actually recommended for all adults. And studies have shown that when you drink more than this, it creates a bunch of problems like we talked about. So, you know, why do you think you drink the amount you drink?","I don't know. It's what we do. It's-- this is how we have fun, I guess. It is fun.","","","",""
"7ffaa939b97d","58","5","1","high","Okay, alright. Where would you like to start with that?","Well, I'm, uh, I-I used to work out pretty good. I-I would go to the gym several times a week. I had kind of a schedule, um—","","","",""
"f1cb2e074499","58","7","2","high","That's really a lot. Very good.","Yeah, well, you know, it really-- At-at one time, I was running-- I ran a half marathon. I was really into it, and, uh--.","","","",""
"d26c2d95cbed","58","9","3","high","Wow.","Well, and I-- But I was working at a different company, where I had a little bit different schedule, a little more free time than I have now, so I just don't have the time like I used to.","","","",""
"117f414fb5e1","58","11","4","high","Mm-hmm.","And I-- And really, it's kind of an excuse, I guess, cause I-I could probably make the time, but it's-it's easier to just keep working or-","","","",""
"c24fb7d4d03f","58","13","5","high","Mm-hmm.","-just being in bed or whatever.","","","",""
"1b69b36dc18c","58","15","6","high","But that goal of the half-marathon, you know, it's really important that you were willing to put all the time into getting ready for it, which, from what I've heard from other people, is almost like a job in and of itself.","I-it was. A-and it was huge for me cause I'd never really been a runner, you know, but it-it was very motivating, and-and—","","","",""
"72d36d4d230f","58","17","7","high","What'd you like about it?","I don't know. I guess there's kind of an adrenaline rush to it. Kinda almost like, you know, uh, kind of a high, I guess.","","","",""
"3ecaaffd99d2","58","19","8","high","Uh-huh.","So yeah-- That's-- I-I really enjoyed it. And I-I liked the feeling that I was doing something good for myself. I liked that, too. I-it kind of-- It so-- It gave me a little bit of self-esteem, I guess.","","","",""
"4608d20ed619","58","21","9","high","I-it a-almost, um, feels like you identified as being a runner, like an athlete?","I-I subscribed to the magazine a while.","","","",""
"0b263ec010f4","58","25","10","high","[unintelligible 00:01:40]","I let-- I lit it on fire but I-","","","",""
"62e6a1c9c57f","58","27","11","high","Okay.","-I did burn for a time.","","","",""
"a5a60cb7df81","58","29","12","high","Got into the culture?","I got into the whole culture. I was-- I-I felt as good as I’ve felt in many, many years. And now I’ve kind of let that all slide, and-- Well, I had a foot injury, too, which kind of started the whole problem.","","","",""
"a187d70a4dfa","58","31","13","high","Okay, alright. Cause it’s tough, it's really, it is. I mean I’ve, um, I’m sure you’ve been told before by whomever, uh, diagnosed your foot injury, but if not, let me know if it gets so tough on your body [unintelligible 00:02:10] let me know. So--","It-it is. And I-- it-it may be why I can’t really run again, but I can certainly, you know, ride a stationary bike-","","","",""
"88cc130bd419","58","33","14","high","Okay.","-and do all the other things in a gym that you can do when you’re not running, so, it just nakes you to [unintelligible 00:02:23]","","","",""
"db336b818c50","58","35","15","high","Oh, and yet and at the same time you know your body well enough, and you-you’re willing to pay attention to your doctor’s advice about the running, right now, for you, not the best thing. Um, so, riding a stationary bike. Um, what else do you like to do that's cardiovascular?","Um, well, um, I like-- The bike is pretty good. Uh, even the uh, you know, the kind of a rolling machine is okay. And the uh, the elliptical. Any of that’s fine. I-I really don’t, uh-- I don’t dislike any of it. Kind of once you get into the rhythm, yeah, it’s fine","","","",""
"9f80adad2267","58","41","16","high","[chuckles].","It is without any of the impact, so it is true.","","","",""
"51a397a02230","58","43","17","high","Okay. And-and what do you- do you-- Some folks, you know, [unintelligible 00:03:18] put on music, kind of- kind of.","Yeah, I do headphones.","","","",""
"5dfa360a3554","58","45","18","high","Yeah.","I got my headphones, and I got my, uh, kind of [unintelligible 00:03:24], if you know what I mean","","","",""
"8708d582ac50","58","49","19","high","And, um, so you were-- You said that you’ve been going several times a week, which is really an extraordinary number, I-I think it’s four, five times a week?","Yeah. I was going literally every other day, you know. And then, some days I would, you know, I’d run, and I’d go to the gym the next day, so I would-- I was very-- I don’t really feel it necessary to get back to that level, but I need to do something cause I’m doing nothing right now.","","","",""
"5cddb1fc7484","58","51","20","high","Nothing. Okay.","I should-- Or next to nothing. I walk to the grocery store or whatever’s handy when I have time, but yeah.","","","",""
"f8e9d3bc9ac9","58","53","21","high","So what ideas do you have about initially just getting started, and what-what would you do [unintelligible 00:04:13] ?","Well, if I could just get myself over there once, 'cause usually that’s the hardest thing. It’s just going there. So I think that's-- You know, I’ve thought about it a little bit, I think I just need to make that first trip over there and just kind of to take it easy that first time. Just show up 'cause I think that’s really what I need to do. I justt need to go over there.","","","",""
"e22b85085fd0","58","55","22","high","What would help you do that?","Um, knowing that my schedule isn’t gonna be too crazy that day where I could spare an hour or so, and-and just go do it.","","","",""
"f0b6213085fe","58","57","23","high","Mm-hmm.","And then I-- [unintelligible 00:04:41] kinda nice [unintelligible 00:4:42] gonna be troublesome.","","","",""
"0c40a3f815d5","58","59","24","high","[unintelligible 00:04:45]?","Um, I don’t know. I think- I think the time has just been the biggest thing, you know, and-and I-I guess the motivation really hasn’t been there. I mean, you know, it’s not like- I don’t really have a goal. I don’t really have a, you know I don't, other than maybe reducing my waistline, you know, I don't really have a-a set number like I'm gonna run a marathon and you know.","","","",""
"40a8dc4f7a2a","58","61","25","high","Mm-hmm.","You know, so I think the just running off the playlist. I-I guess maybe if I made a goal would helped too.","","","",""
"484858360d75","58","65","26","high","Um.","Plus there's people who have done that countless times and you can go read what their-","","","",""
"8a9166da7722","58","67","27","high","Mm-hmm.","-regimen was so you get feedback too. And then [unintelligible 00:05:37] did this from this day and so on.","","","",""
"889240c6acc5","58","71","28","high","[inaudible 00:05:55]","That might not be be a bad idea. [inaudible 00:05:59]","","","",""
"f9b8c9d0b24f","58","74","29","high","-somebody there and, you know, hooking up with somebody.","I think that'd be great. I-I never have really found anybody that like to exercise with the pace that I wanted to. They were all either going way too fast or not even moving at all.","","","",""
"488c365e9949","58","76","30","high","Okay.","So it's kinda hard to meet up with somebody that can kind of maybe kind of give you a push [unintelligible 00:06:38]-","","","",""
"cb5526233062","58","78","31","high","Okay.","-might be a challenge.","","","",""
"c6f1e25c35f7","58","80","32","high","There might be something [unintelligible 00:06:43] because you're such a social guy. And so to be able to be exercising and be talking and enjoying yourself- you like the music too, right?","Yeah, that's right, well I-","","","",""
"0d75c67f9910","58","82","33","high","And if you arrange to meet somebody there, you're very good at, uh, you know, uh, keeping the agreement.","Okay, that's a great idea I hadn't thought of that-that's- I hadn't really, uh, I-I kinda dismissed that early on, I hadn't really even considered that, yeah.","","","",""
"eb8345b3b27e","58","84","34","high","And in for right now it just be, you'll be happy with getting there one time.","If I could get there-- I know if I could get there-- if I could pick, you know, uh, these are the days I'm going to go to the gym and I know these things last time.","","","",""
"8ed96cdcec35","58","86","35","high","Mm-hmm.","So if I- if I could-- I mean, I wanna get there three times a week.","","","",""
"d56bef00e9c1","58","88","36","high","Mm-hmm.","I wanna get there on Saturdays or Sundays and Tuesdays and Fridays, or something like that, then I could probably [unintelligible 00:07:34]","","","",""
"2a8eb30240a7","58","90","37","high","And days that you know of on your less rigorous schedule that you're more likely to succeed [unintelligible 00:07:40] I really like how you're picking like three days a week instead of some days a week.","Right, yeah. Well, it's just not-","","","",""
"ccc0eefd3ba9","58","92","38","high","Very clear you understand the whole idea of giving yourself a day off in between.","Oh yeah, yeah, it doesn't do any good to just try to injure your- injure yourself especially when you're a bit normal like me.","","","",""
"0f7150b3df44","58","94","39","high","Okay, yeah, I know that, yeah, yeah. Okay, so. So, um, so are you sure you wanna try to start out with the- that initial [unintelligible 00:08:07]","You gotta get over there.","","","",""
"859b981d358a","58","100","40","high","Thanks.","All right, bye-bye.","","","",""
"994094bdb396","119","1","1","high","Thanks for coming in. Tell me what's been happening since we last spoke.","Well, I, um, I did get an interview for a job. Um—","","","",""
"c15711ce9d87","119","3","2","high","Wow, that's so great.","Yeah, but I wasn't able to go, um, cause my kids, I didn't have any one to watch them. And, um, you know, so the- that was sort of game over. I just, I had to cancel the interview and this, it's too bad because it was a really, a- actually was a job that would have been good, but I don't know.","","","",""
"38c4a5b01cda","119","5","3","high","You sound disappointed.","Well, yeah, because it's- it's, you know, I didn't really have a choice. I guess I have to be- I have to make sure my kids are taken care of first. And, um, you know, I'm worried that this is gonna keep happening.","","","",""
"8102877f6b78","119","9","4","high","Mm-hmm, okay. Well, tell me, um, on a scale from one to 10, how important is it for you to get a job?","Um, it sits about at a 10 because yeah, I mean, I'm the only one supporting my kids and, um, you know, it's just, what I'm getting from welfare is just not cutting it. So I really need to have a job and soon.","","","",""
"778d3ffd00ee","119","15","5","high","Um, and tell me on a scale from one to 10, how confident are you that you could get a job?","I mean, right now, I think I'm about at a three. I just seems like, you know, even if I'm able to get into the interview and get childcare, you know, when I show up, I've got this resume that it's- it's not impressive and it's got all these gaps of employment and I'm not as educated as other people going in for the same job. So I just feel like I'm not, um, I don't know, that employable.","","","",""
"9170c7f53bdf","119","19","6","high","And then also it sounds like you're kinda feeling not so great about your resume and your experience.","Yeah. Yeah, because it's so limited and I've been out of the workforce and even when I was working, I mean, it's not, I don't know, it's not stuff that I feel like can lead to the job that I want now.","","","",""
"dfbc0b5008ec","119","21","7","high","Okay. What is it that you- what is it that you want?","I just want something that is- is gonna be steady and where I can be, you know, even if my kids are in childcare during the day, that I can be home every night and spending time with them and, um, know you really like to get something where, um, I'm just making good money and- and I don't have to worry all the time about money.","","","",""
"2e647170f758","119","23","8","high","Yeah. Yeah. So, if you had- if you had consistent work, it would change your life in a lot of ways.","Yeah. It would be huge.","","","",""
"c1034dfb9146","119","25","9","high","Mm-hmm. It would provide the income that you need and you wouldn't worry so much.","Yeah. And it'd be nice to just know what I'm doing and just have my routine.","","","",""
"fb98d160ae7c","119","29","10","high","Okay. And you know, what's- what's happening for the- for the day, for the week.","Right. Well, it would be good if I knew, you know, that my kids are taken care of too-","","","",""
"e7c924d53955","119","31","11","high","Yeah.","- so I'm not worried about them while I'm at work.","","","",""
"817a615a2a08","119","35","12","high","Yeah. Um, so tell me, what would it take to get you to like a five in confidence, to feel a little bit more confident about getting work?","Well, I mean, being able to make the interviews would be the priority.","","","",""
"52aff32e8007","119","37","13","high","Okay, Yeah.","Um, so chi- you know, taking care, having some childcare, having-","","","",""
"23c686c7cd26","119","39","14","high","Mm-hmm.","- having someone I trust that I can call when I know I've got an interview.","","","",""
"3895ced5ec3f","119","45","15","high","What else would get you to a five?","Um, I just wish that I had- I had more experience or, um, you know, more education. It seems like everyone's got a college education and I don't have that on my resume.","","","",""
"daa3458fbcf5","119","47","16","high","Okay.","I get asked about education and training and –","","","",""
"9759bbfb9bf2","119","49","17","high","Mm-hmm, mm-hmm.","- um, you know, I just, it, as soon as I asked about it, I just feel just like I'm not good enough-","","","",""
"695adf089e5e","119","51","18","high","Okay.","- since I don't have that.","","","",""
"4024efedb324","119","53","19","high","Yeah, so if you had something on your resume that was around education training, maybe a certificate of some kind of a field that you're interested in, that you would feel proud of yourself.","Yeah. Well, something I could talk about in the interview too. You know, even if I was some type of certification where I could say, I could, you know, with confidence talk about- about that.","","","",""
"cf33eb904294","119","55","20","high","Mm-hmm. Okay. What-- do you have any ideas as to what fields you might be interested in getting some more education, more training?","I mean, I guess, I just don't really know what it's gonna be because I need to have a job now so I'm not really sure.","","","",""
"b6fabfde4e0a","119","57","21","high","Like what's going to be fastest.","Right. I almost feel like that's more important than what I'm interested in, you know, because I'm like, I'm not going to go back to school for four years right now.","","","",""
"81826da7c3c0","119","59","22","high","Okay, and so if- if you were, it sounds like if you were going to do something you'd wanna to do something really quickly like a short- a short certificate.","Yeah or something-- yeah, something that I could get immediate skills that would, you know, get me into some kind of a job now, even if it's not my long-term goal or, you know, career just- just get me into something and then I can always focus on.","","","",""
"0515ffd61826","119","65","23","high","Okay, and allow you to afford everything you need to afford.","Yeah, because even those jobs right now don't feel accessible for me. They seem like, you know-- seems like if-- maybe if I were better on the computer or you know.","","","",""
"4d0d63bbb73d","119","67","24","high","Okay, so specifically getting some computer skills will help?","Yeah. I think so- I think so because I don't-- I can't-- I don't really have anything on my resume that talks about—","","","",""
"a650f5dc060e","119","73","25","high","Um, as well as maybe doing some sort of certificate or getting some classes and training in computers?","Yeah, that would be great.","","","",""
"077c6f6ae2ff","119","75","26","high","Okay.","That would be great.","","","",""
"4ae1418f8db6","119","77","27","high","So what would you like to do next, you think?","Well, find the childcare resources-","","","",""
"581868313d4e","119","79","28","high","Okay, okay.","- is- seems to be- that seems to be the—","","","",""
"49668374aa42","119","81","29","high","That's a priority.","The priority 'cause I can't even do an interview without that.","","","",""
"47625581600b","119","83","30","high","Yeah.","And then, um, I mean-- I guess getting into some type of- some type of a training program that's, you know, short-","","","",""
"2e570f79f198","119","85","31","high","Yeah.","- like maybe there's a weekend, I mean—","","","",""
