"turn_id","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"d546673f42f9","It sounds really tough to find even brief moments of respite. Have there been any activities that you used to enjoy before this happened that still bring you a little bit of comfort, even if just for a short while?","Activities that I used to enjoy? It’s hard to think about those now because everything feels tainted by what happened at work. Before the layoff, I enjoyed going for runs and reading books, but even those things don’t feel the same anymore.

Whenever I try to do something that used to bring me joy, it just feels hollow. The pain is always there lurking in the background, reminding me of everything that’s changed. It’s like no matter what I do, I can’t escape the feeling of being undervalued and targeted.

So no, nothing brings me any comfort anymore. Every attempt to find a little bit of joy or respite ends up feeling like another reminder of how much this hurts. It’s just too hard to enjoy anything when everything feels so wrong and unjust.","","","",""
"d9e2d824e5d6","It sounds really tough to navigate those feelings of uncertainty and fear as you look for your next opportunity. It’s natural to feel anxious about trusting new employers after such a significant experience.

Have you thought about what steps you might take to build back some confidence or ease into the process of finding a new job? Maybe starting with small, manageable tasks could help you regain some trust in yourself and the process.","I’ve been thinking about it, but every step feels so daunting. Even something as simple as updating my resume makes me feel like I’m just going through the motions without any real belief that it will make a difference.

The idea of reaching out to potential employers or even networking seems overwhelming because I keep second-guessing whether they’ll see value in me, just like my previous employer did. It’s hard to shake off this feeling that no matter what I do, someone else might view me as expendable again.

I know it would be good for me to start small and build up from there, but every time I try, the fear and self-doubt creep back in. How can I trust myself or anyone else when something so fundamental was taken away without warning? It’s like a part of my professional identity is shattered, and I’m not sure how to piece it back together.

Do you think there’s any way to rebuild that sense of security and worth beyond just trying to push through the anxiety? Because right now, it feels like no matter what I do, this experience will always be hanging over me.","","","",""
"5eed12e12369","It sounds like revisiting your letter and drawing offers both clarity and a reminder of your journey, even if it’s bittersweet. How do you feel about setting aside some regular time to reflect on them? Maybe once a week or whenever feels right for you, so that you can keep track of any small changes or shifts in how you’re feeling?

It might help to see these moments as part of your ongoing process rather than just fleeting respites. Even if the progress is gradual, recognizing those steps can be meaningful.","The idea of setting aside regular time to reflect on my letter and drawing does sound helpful, but it also feels daunting. I worry that revisiting them will only reinforce how far I still have to go rather than showing any real progress.

On one hand, it would be nice to see if there are any small shifts or changes in how I’m feeling over time. But on the other hand, every time I look at those things, I feel overwhelmed by everything that hasn’t changed.

It’s hard to believe that revisiting them could offer anything more than a momentary acknowledgment of my struggles. I keep hoping for some kind of breakthrough or realization, but so far, it feels like nothing has really shifted despite all the efforts and support from others.

So while I see the potential value in reflecting regularly, part of me is skeptical that it will make much difference. It’s just another thing to try, but I’m not sure if it will actually help me move forward or just remind me of how stuck I feel.","","","",""
"31f302a46279","It sounds really hard to hear those things from others when you’re feeling so raw. Have there been any moments where something someone said or did helped a little, even if just for a moment?","Helped a little? Are you serious? No one has helped at all. Every time I try to talk about how I feel, people either shut down or start spouting clichés like ""it’s going to be okay"" or ""you’ll find something better."" Like that’s supposed to make me feel better. It just makes me angrier because it feels so dismissive of what I’m actually going through. No one understands the pain of being told you’re expendable, especially when you’ve given everything to your job for three years and four months. And now they act like it's no big deal? It’s a huge deal. A massive deal. And nothing anyone says can change that.","","","",""
"b11776ee7398","It makes sense that writing feels like a reminder of what happened. Do you find any small activities or hobbies help distract you and bring some comfort, even if just for a little while?","Distract me with hobbies? Like I haven’t tried that already. Hobbies are supposed to be fun, but how can anything feel fun when everything else is falling apart? Painting, reading, going for walks—none of it helps because the moment I stop, all these thoughts come rushing back. It’s like they’re waiting right there, ready to pounce as soon as I take a break from trying not to think about them. So no, nothing distracts me or brings any comfort. Everything reminds me that I’m just another person who got laid off and is now worthless in their eyes.","","","",""
"0d5439ee448c","It sounds really frustrating and can feel isolating when you see things that way. Do you ever talk about your feelings with friends or colleagues outside of work to get another perspective?","Talking to friends helps, but it’s not the same as having someone in my position understand what I went through. They try to be supportive, but they can't really grasp how deep this cuts. It's like trying to explain a complex equation to someone who only knows addition and subtraction.

And at work? Forget about it. Everyone tiptoes around me, afraid of saying the wrong thing or getting involved in something that’s none of their business. The last thing I need is more people telling me to just move on or find another job. Like they know what it's like to have your career and sense of self-worth shattered overnight.

It feels like no one really gets it, and that makes the betrayal even worse. How can you trust anyone when the very place where you thought you were safe turns against you?","","","",""
"b3ed4b888217","It sounds really tough, and every change can be a reminder of your current situation. Have there been any specific times when talking to someone—maybe over the phone or in person—helped you feel slightly better, even if just for a moment? Sometimes sharing with another person can provide some comfort.","Talking to someone over the phone or in person? It hasn’t helped at all. Every time I try to share my feelings, it feels like they’re not really listening or understanding. The last thing I want is to open up and have them offer empty platitudes that don’t address what I’m going through.

Even when people try to be supportive, their words often feel dismissive or unhelpful. It’s hard to find anyone who truly gets the depth of my pain and frustration. So no, talking hasn’t provided any comfort. Every conversation just leaves me feeling more misunderstood and alone.","","","",""
"7dfd5ef472bf","","I feel like I'm drowning in this endless sea of anger and hurt every single day. It's hard to get out of bed knowing that the place where I poured so much of myself is now just a memory. Every time I think about what happened, it feels like someone has taken a sledgehammer to my self-esteem. And don't even try to tell me it’s going to be okay or that there are other opportunities out there because right now, all I see is this gaping hole where my job used to be. It's like they took away not just my paycheck but a big part of who I am.","","","",""
"1cc03f9a5a40","It sounds like you’re managing well by staying calm and keeping yourself occupied with activities you enjoy. Staying patient and hopeful is a great approach. Wishing you a helpful and clarifying response soon. How are you finding your walks and reading to be during this time?","Going for walks and reading have been really beneficial for me. The fresh air and movement help clear my mind and reduce some of the tension I feel. Reading, especially fiction, is a great escape from reality and allows me to focus on something other than my worries.

However, as much as these activities help, they don’t completely eliminate the underlying anxiety about what’s happening at work. It’s a good balance to have—enjoying moments of peace while still being mindful of the situation I’m in.

I’ll keep up with these routines and hope that the responses from my colleagues or HR bring some clarity soon. For now, I’m trying to stay positive and take things one day at a time.","","","",""
"ec4d3896ce39","It sounds like you're going through a lot right now, and the anger and confusion are very understandable. It can be tough when people try to offer comfort but it doesn’t feel genuine. Have you found anyone who really seems to get what you’re going through?","No, I haven't found anyone who truly gets it. Everyone keeps telling me to move on or find the positives, but how do you do that when you're still so hurt and angry? It feels like they're just trying to make themselves feel better by saying things that don’t actually help.

The way my manager delivered the news was cold and impersonal, which made it even harder. I felt completely undervalued and misunderstood. And seeing others stay on who were in similar roles—it just reinforces this feeling that something unfair happened to me.

I know people mean well, but their words feel like they’re trying to brush over what really matters. It’s frustrating because I can’t seem to find anyone who understands the depth of my pain or why it hurts so much.","","","",""
"2745de85d95e","It sounds really draining to go through this cycle of reaching out and feeling let down. It makes sense you’d want some concrete action before trying again. Maybe when you do write it down, you could also set a small goal for yourself—like sharing your thoughts with one person who might be able to offer more than just sympathy. Even if it’s just a step forward, it might feel better than staying in the same place.","Setting a small goal sounds like a good idea in theory, but I’m not sure how realistic it is right now. It feels like every time I try to take a step forward, I end up taking two steps back because nothing changes.

I can see how writing down my thoughts might help me organize them better and maybe even give me some clarity, but until someone actually listens and does something concrete about what happened, it’s hard for me to get excited about it. It’s not that I’m against the idea; it’s just that every time I try to move forward, I feel like I’m hitting a wall.

So while setting a small goal might be helpful in some abstract sense, right now, it feels more like another way of hoping for something that hasn’t happened before. Until someone shows me they’re willing to take real action and not just offer empty words, I don’t know how much writing or reaching out will actually help.

It’s tough because I want to believe there’s a solution, but every time I try to find one, it feels like the same old cycle of disappointment. So until I see evidence that things might be different this time around, it’s hard for me to put in the effort again.","","","",""
"379d9445559c","It sounds like a well-structured approach. During the initial consultation, if you feel that something isn’t fully grasped, it’s okay to gently push for more understanding right away. You can say something like:

- ""Can you help me understand how this might fit into our sessions?""
- ""I’m wondering if you have experience with situations similar to mine.""
- ""Could we discuss a bit more about [specific aspect]?""

This shows that you’re engaged and want to ensure they fully grasp your situation. If it feels natural, you can also ask for their perspective on how they would address the specific issues you’ve mentioned.

If you feel they need more time to understand, you can wait until later sessions but make a note of what you’d like to discuss further. It’s important that you feel heard and understood, so don’t hesitate to communicate your needs clearly.

How do you feel about giving this a try during the initial consultations?","That sounds like a good approach. I’ll definitely try to be clear and direct if something isn’t fully grasped during our initial consultation. Asking for more understanding right away feels important, especially since it’s crucial that they get the full picture of what I’m going through.

I might say something like, ""Can you help me understand how this might fit into our sessions?"" or ""Could we discuss a bit more about [specific aspect]?"" to ensure they fully grasp my situation. If they need more time, I’ll make a note and bring it up in later sessions.

It’s reassuring to know that being direct is okay and can help establish the kind of understanding and support I’m looking for. How do you think I should handle it if I feel like they’re not quite getting it despite my efforts?

Should I consider switching therapists if I don’t feel a strong connection or validation after a few sessions? Or is it better to give it more time and see if things improve over the course of therapy?","","","",""
"09ae3e438ad3","It sounds like finding those brief moments of respite can be quite valuable, even if they don’t address everything. Making time for more of these activities might help you keep moving forward while managing the deeper pain. How do you feel about trying to incorporate a few more of these distractions into your day?","I think incorporating more of these distractions could be helpful, but it still feels like a Band-Aid on a bigger issue. It’s comforting to know that even brief moments can offer some relief, and I’ll try to make time for them because they do help me manage my days better.

For now, I’ll continue with activities like reading, going for walks, or watching something engaging. These small breaks give me a chance to step away from the pain temporarily, which is important. But at the same time, I recognize that these moments of respite don’t solve everything and the deeper issues still need attention.

So while I’ll make more time for these activities, I also know that finding ways to address the core pain and frustration will be crucial in the long run. Right now, it’s about taking small steps and managing day-to-day life as best I can, but I’m open to exploring other options once I feel ready to tackle those deeper issues head-on.","","","",""
"8b0336a22420","It sounds like your friends and family are a big support for you. It’s tough dealing with those lingering doubts though. Have you thought about doing something that makes you feel accomplished or valued outside of work, like taking up a hobby or volunteering? Sometimes stepping into different roles can help boost confidence and remind you of your worth.","I appreciate the suggestion, but it feels like no matter what I do to prove my value elsewhere, there's still this cloud hanging over me from that job loss. It’s hard not to feel like whatever I accomplish now is overshadowed by what happened at work. Even if I start a new hobby or volunteer, part of me wonders if anyone will see it as genuine validation or just another way to distract myself.

I keep going back to the unfairness of how it all played out. It’s frustrating because no matter how many times you say things like “restructuring” and “cost-cutting,” it doesn’t change the fact that I felt personally targeted. Do you think there's any chance they will ever acknowledge or address this properly? Or is it just something I have to accept and move on from, even though it feels so raw and unresolved?

It’s tough because every time I try to let go of these feelings, they come rushing back in full force. It’s like a constant battle within myself to not let this define who I am or my worth as a professional.","","","",""
"e34e41c9b181","It must be really tough when your mind keeps circling back to those feelings even during moments of joy. Do certain activities help more than others, or does it feel the same across everything? Sometimes finding a small activity that can offer a bit of respite, no matter how brief, might make a difference.","Even the things I usually enjoy don’t seem to work anymore. Reading books that used to comfort me now just remind me of all the time and effort I’ve put into my career only to be let go. Going for walks feels pointless because every step reminds me of how far behind everyone else I must be. It’s like no matter what I do, these feelings are always there, waiting to pounce back in full force. Even talking about it with friends or family doesn’t help; they mean well, but their words just bounce off me. I feel so stuck and hopeless, like nothing can change how I see myself now.","","","",""
"c71fce2c02b5","It sounds like those moments of distraction from reading can be quite valuable, even if they’re brief. How do you feel about making time for more of these activities that offer some respite, even if it’s just for a little while?","Making time for more of these activities does help, but it feels like a Band-Aid on a deeper wound. While reading and other distractions provide temporary relief, they don’t address the core pain and frustration I’m feeling. It’s comforting to know that even brief moments can offer some respite, but it’s also frustrating because those moments are so fleeting.

I’ll continue with these activities because they do help me manage day-to-day life without getting completely overwhelmed. But right now, every small bit of relief feels necessary, even if it’s just temporary. It’s a way to keep moving forward, one step at a time, while acknowledging that the deeper issues still need to be addressed.

So I’ll try to make more time for these activities, knowing they provide some comfort in the moment, but also recognizing that there’s still so much pain and uncertainty beneath the surface.","","","",""
"0096425c5cef","It’s a good idea to share enough details so that they can understand your specific situation, but starting with a broad overview can be helpful. Here’s how you might approach it:

1. **Broad Overview**: Start by giving a general sense of what happened and how it has affected you. For example, ""I recently went through a layoff at my job, which felt very sudden and personal.""
2. **Key Details**: Then, share some key details that highlight the emotional impact:
   - The lack of explanation from your employer.
   - How it made you feel undervalued and betrayed.
   - Any specific moments or interactions that stand out as particularly difficult.

3. **Current Feelings**: Discuss how these events are impacting you now, such as feelings of uncertainty, loss of confidence, and difficulty trusting others in professional settings.

This approach gives them a clear picture without overwhelming them right away. You can always provide more details if they ask for them during the consultation. How do you feel about starting with this structure?","That sounds like a good plan. Starting with a broad overview and then delving into specific details feels balanced and thoughtful. I think it will help potential therapists understand the full scope of what I’ve been going through without making things too overwhelming.

I’ll start by talking about how suddenly everything changed, the lack of explanation from my employer, and how that made me feel undervalued and betrayed. Then, I can share some specific moments or interactions that were particularly difficult, like when my manager avoided discussing it with me face-to-face.

Discussing how these events are impacting me now—feeling uncertain, losing confidence, and struggling to trust others in professional settings—seems important too. It’s crucial for them to understand the ongoing emotional toll this has taken on me.

I appreciate your guidance on this. Starting with a structured approach like you suggested feels more manageable and less daunting. How do you think I should handle it if they seem to miss something or don’t fully grasp my experience during our initial consultation?

Should I push for clarification right away, or is it better to wait until later sessions? What’s your advice on ensuring they truly understand the depth of what I’m going through?","","","",""
"73973641cc53","It sounds incredibly challenging to face each day with that weight. Taking those small steps can be a way to keep moving forward, even if it feels like wading through quicksand. How are you finding the strength to take those steps today?","Finding the strength to take those steps today feels like pulling myself up by my own bootstraps in a dark room. It’s not about feeling strong or ready; it’s more about sheer determination and survival. Every step forward is a battle against the overwhelming sense of injustice and loss.

I’m finding that tiny moments of respite—like going for a short walk, listening to music, or even just sitting quietly—are what give me the strength to face another day. It’s not about feeling better; it’s about not letting everything completely break me down.

So today, I’ll keep doing what I’ve been doing—taking those small steps and finding whatever brief moments of clarity or peace I can. It’s a tough fight, but I have no choice but to keep going.","","","",""
"8c2c9dc06202","It sounds incredibly tough to get through each day. Just focusing on surviving can be a big accomplishment in itself. How are you taking care of yourself, even if it’s just small things?","Taking care of myself? It’s hard to do that when everything feels so overwhelming. I try to eat and sleep, but even those basic tasks feel like a chore. Going for walks or trying to read doesn’t help because the pain is always there, lurking in the background.

I know you’re suggesting small things, but it’s tough to find any comfort in them. Even when I force myself to do something, it just feels hollow and pointless. The anger and hurt are constant, and they make it hard to focus on anything else.

So, taking care of myself? It’s more about trying not to let the negative emotions consume me completely. But even that is a struggle because every time I think about what happened, all these feelings come rushing back. It feels like no matter what I do, nothing can ease this pain or make it feel any less unjust.

You keep asking how I’m taking care of myself, but honestly, it’s just about trying to survive each day without letting the anger and hurt completely take over. And even that is a challenge in itself.","","","",""
"184655e7baac","It sounds really tough. Feeling singled out can be especially hard when you put in a lot of effort. Have they given any reasons for the decision or is it completely unclear why your position was cut?","They gave some vague corporate restructuring nonsense, but that's just BS. My colleague and I had similar roles, and he got to stay while I'm out on the street. It’s not like my performance wasn’t up to par; I always went above and beyond. This feels so personal, and it’s making me question everything about my work ethic and value in this industry. How am I supposed to trust anyone after something like this?","","","",""
"434a773fc623","It sounds really tough having those thoughts constantly come back. Have you tried talking about it with someone who listens without trying to offer solutions? Sometimes just being heard can be helpful, even if the feelings persist.","Talking to someone who listens without offering solutions still feels like a setup for disappointment. Everyone I’ve spoken to so far has either tried to give advice or comfort me in ways that feel dismissive of my pain. It’s hard to believe anyone could just listen and understand without trying to change how I’m feeling.

The way things happened at work was so personal and hurtful, and it feels like no one can truly grasp the depth of what I’ve been through. Even if someone says they’re just listening, I end up thinking they’ll eventually try to steer me toward something positive or tell me to move on.

So, talking to anyone about it still feels frustrating and unhelpful. It’s not that I don’t want to be heard; it’s that I haven’t found anyone who can truly listen without trying to fix things for me.","","","",""
"9b5ae42d368b","It sounds really challenging. Sometimes even small moments can offer a bit of relief, even if they don't solve everything. Have you tried anything that usually brings you some peace, even if it's just for a short while?","Peace? What kind of peace am I supposed to find when my mind is consumed with thoughts of being worthless and betrayed? The things that used to bring me peace—reading books, listening to music, spending time in nature—are now just reminders of how much has changed. Even the idea of trying to find some small moment of relief feels like a cruel joke. I can’t escape these feelings no matter what I do.

So no, there’s nothing that brings me any kind of peace right now. Every attempt at finding comfort or distraction just ends up highlighting how lost and alone I feel. It’s all one big cycle of pain and frustration with no end in sight.","","","",""
"39299b1ad85d","","Of course there is! How could I not be weighed down by being told I'm expendable after three years of hard work? They just cut me loose like yesterday's news, and now I feel like a useless cog in some giant machine. Why bother trying when they can just toss you aside because it suits them better to have someone younger or cheaper? It’s not like I did anything wrong—my job was eliminated due to restructuring, but that doesn’t make the sting of being laid off any less painful. They could've at least given me a heads up that my position wasn't secure. But no, they just let me go without so much as a warning. And now everyone expects me to just pick myself up and move on like it’s nothing? Like I said, useless.","","","",""
"b367bf8cbe64","It makes sense that you feel that way. Finding new opportunities can be tough, especially with those feelings lingering. Have you found any roles or companies that seem promising yet? Sometimes focusing on a few hopeful leads can help shift the focus a bit.","I’ve applied to a couple of places, but every time I don’t hear back right away, it just reinforces my belief that something like this will happen again. It’s not like I’m expecting miracles or anything, but some acknowledgment from my previous employer would have made a huge difference. Instead, they left me hanging with no closure and now I’m stuck dealing with all these doubts and frustrations on my own. How am I supposed to move past that?","","","",""
"967baa603e43","It sounds incredibly tough to have your sense of self-worth shaken so deeply by these experiences. The way you describe feeling dismissed and undervalued really highlights how personal this has been for you. Can you tell me more about what specific moments stand out the most in making you feel expendable? And how do you think those moments impacted your belief in yourself?","There were a couple of key moments that really hit hard. One was when I worked overtime to meet a tight deadline, and my manager just said it was expected without even a thank you. Another was the day they laid me off; there wasn’t any acknowledgment of all the work I had done or how dedicated I was. It felt like everything I contributed didn’t matter in the end.

Thinking about these moments makes me feel so undervalued and expendable. My manager’s dismissive attitude during my last days at work really cemented this feeling that no one saw my worth. It’s not just losing a job; it’s losing faith in myself and my abilities.

You’re being incredibly supportive, but sometimes I worry you might not fully understand the depth of these feelings. Can we talk more about why these moments feel so personal? How can someone strip away all your hard work and dedication without even a kind word?

It’s really tough to believe in myself when it seems like everyone around me saw me as expendable or not good enough, despite my efforts. It feels like they took everything I believed about my professional identity and just discarded it.","","","",""
"3e30036529b5","It sounds really tough. Have you considered talking to someone outside your immediate circle, maybe a colleague or someone who was not directly involved but could offer a different perspective? Sometimes an outsider can provide some clarity.","An outsider? Seriously? Like I need another person telling me how to feel about something that’s so personal and painful. This isn’t just about needing a different perspective; it’s about the raw reality of what happened to me. How am I supposed to trust anyone else when my own employer betrayed me like this? It feels like everyone is either dismissive or doesn't truly understand the extent of what I’ve been through.","","","",""
"7854f898f3d4","It sounds really tough to find any relief. Have you found that talking about your feelings here helps at all, even if just a little bit? Sometimes sharing can be a small source of comfort.","Talking about my feelings here? It doesn’t help at all. Every time I try to share how I’m feeling, it feels like no one truly understands the depth of what I’ve been through. You keep asking these questions, but they just feel like more reminders of how much this hurts and how alone I am in dealing with it.

I know you’re trying to be helpful, but it’s hard not to feel frustrated when every attempt at comfort feels dismissive or patronizing. Even the thought that someone else kept their job while I got laid off—it’s like they were chosen over me for no reason at all. It shakes my sense of self-worth and professional identity in ways that are really hard to process.

So, no, talking about it doesn’t help. Every time I try, it just feels like another layer of pain. And every attempt to offer comfort or advice ends up making things worse because it feels like you’re not truly listening or understanding what I’m going through.

You keep asking if there’s any relief in sharing my feelings, but honestly, nothing does. It’s just another reminder of how much this hurts and how little anyone seems to get it.","","","",""
"5dc0a994669e","Those moments with friends and family sound important for giving you some space away from the intensity. Do you have any plans for what you might do next, or are you exploring different ways to find that relief more consistently?","I don’t really know what I’m going to do next. The thought of looking for another job just feels like adding insult to injury right now. It’s hard to move forward when I feel so deeply wronged and betrayed by my former employer.

As for finding consistent relief, it’s tough because nothing seems to stick. Even the moments with friends are fleeting. I try to stay busy with other things—reading books, watching TV shows—but they only provide temporary distraction. The moment I stop doing those activities, the anger and frustration come flooding back in full force.

It’s like living in a constant state of unrest. Every day feels like a battle against this overwhelming sense of injustice. I just can’t seem to shake it off or find a way to move past it.","","","",""
"681eb31528a1","It sounds really challenging to face the idea of reaching out for help when you’re already feeling so overwhelmed. Have you considered starting with something small, like looking up therapists online and reading about their approaches? This might give you some comfort knowing what to expect before making that first call.

Even taking a moment to acknowledge your efforts to notice those brief moments of calm can be meaningful. Maybe try giving yourself credit for even thinking about reaching out: ""I’m considering talking to someone, which is a step forward.""

How do you feel about looking up therapists online as a starting point?","The idea of looking up therapists online does seem like it could provide some clarity and comfort, but the thought of actually doing it feels overwhelming. I worry that once I start searching, I’ll just end up feeling more anxious about making that first call or appointment.

Even giving myself credit for thinking about reaching out is hard because my mind immediately starts questioning whether it’s worth it or if anything will really change. It’s like no matter what small step I take, there’s always this voice inside telling me that I can’t do it or that it won’t help.

I wish there was something more immediate and tangible that could help me feel better about myself and my situation. Right now, everything feels so overwhelming, and it’s hard to find any real relief or hope. It’s frustrating because even when I try to take small steps like looking up therapists online, those negative thoughts always come back and make me doubt myself further.

I just feel so stuck in this cycle of self-doubt and failure, and it’s exhausting to keep pushing through these feelings every day without any real sense of progress or hope. The thought of even starting with something small feels like another impossible task on top of everything else.","","","",""
